<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.11.21	12:05:00	89632	89719	89565	89689	7967	24173	1
2018.11.21	12:10:00	89684	89745	89606	89745	9324	25699	1
2018.11.21	12:15:00	89745	89904	89709	89838	14108	43872	1
2018.11.21	12:20:00	89838	89848	89761	89766	7675	22018	1
2018.11.21	12:25:00	89766	89771	89663	89684	11561	34402	1
2018.11.21	12:30:00	89678	89807	89540	89555	24933	70322	1
2018.11.21	12:35:00	89555	89637	89447	89545	19950	55957	1
2018.11.21	12:40:00	89545	89581	89411	89478	12999	38510	1
2018.11.21	12:45:00	89483	89648	89432	89545	15570	46151	1
2018.11.21	12:50:00	89545	89601	89406	89529	14717	48744	1
2018.11.21	12:55:00	89529	89694	89478	89653	12833	39075	1
2018.11.21	13:00:00	89658	89961	89653	89894	20988	66050	1
2018.11.21	13:05:00	89899	89940	89612	89622	16597	50048	1
2018.11.21	13:10:00	89622	89817	89601	89781	13929	40533	1
2018.11.21	13:15:00	89786	89863	89719	89843	10940	34411	1
2018.11.21	13:20:00	89848	89858	89704	89771	8655	25863	1
2018.11.21	13:25:00	89771	89822	89714	89740	6636	22285	1
2018.11.21	13:30:00	89735	89838	89668	89771	11011	33498	1
2018.11.21	13:35:00	89771	89791	89668	89704	7727	24050	1
2018.11.21	13:40:00	89699	89766	89632	89653	8397	26715	1
2018.11.21	13:45:00	89653	89663	89504	89535	12740	40368	1
2018.11.21	13:50:00	89529	89591	89411	89581	13508	42083	1
2018.11.21	13:55:00	89581	89663	89535	89576	11602	37767	1
2018.11.21	14:00:00	89571	89601	89452	89550	10663	34524	1
2018.11.21	14:05:00	89550	89663	89545	89627	8083	25997	1
2018.11.21	14:10:00	89632	89719	89617	89653	10254	32285	1
2018.11.21	14:15:00	89658	89735	89601	89725	7917	27376	1
2018.11.21	14:20:00	89730	89735	89601	89637	7365	24666	1
2018.11.21	14:25:00	89637	89678	89565	89653	8680	28221	1
2018.11.21	14:30:00	89663	89802	89648	89781	9718	31108	1
2018.11.21	14:35:00	89781	89858	89725	89838	9343	32235	1
2018.11.21	14:40:00	89833	89868	89761	89766	8170	26763	1
2018.11.21	14:45:00	89766	89776	89694	89755	8485	28316	1
2018.11.21	14:50:00	89750	89786	89704	89730	6447	21951	1
2018.11.21	14:55:00	89725	89735	89586	89704	12816	41282	1
2018.11.21	15:00:00	89704	89827	89637	89663	13839	47967	1
2018.11.21	15:05:00	89663	89668	89519	89601	11326	37093	1
2018.11.21	15:10:00	89601	89719	89581	89704	7787	26707	1
2018.11.21	15:15:00	89699	89745	89617	89668	8035	29503	1
2018.11.21	15:20:00	89658	89730	89571	89596	7803	27082	1
2018.11.21	15:25:00	89601	89648	89524	89565	7948	27360	1
2018.11.21	15:30:00	89560	89586	89427	89504	11867	39381	1
2018.11.21	15:35:00	89499	89555	89457	89555	7111	26738	1
2018.11.21	15:40:00	89550	89627	89529	89591	7905	30964	1
2018.11.21	15:45:00	89596	89617	89488	89524	8036	28700	1
2018.11.21	15:50:00	89529	89622	89509	89550	7092	26260	1
2018.11.21	15:55:00	89550	89586	89493	89545	4956	16094	1
2018.11.21	16:00:00	89545	89678	89519	89653	9653	32466	1
2018.11.21	16:05:00	89663	89833	89642	89745	13955	47901	1
2018.11.21	16:10:00	89750	89766	89622	89642	8672	30700	1
2018.11.21	16:15:00	89642	89678	89447	89493	12447	41468	1
2018.11.21	16:20:00	89493	89622	89406	89596	13268	43987	1
2018.11.21	16:25:00	89601	89725	89591	89684	10164	32951	1
2018.11.21	16:30:00	89684	89735	89601	89658	8139	27831	1
2018.11.21	16:35:00	89658	89766	89642	89725	7974	25342	1
2018.11.21	16:40:00	89730	89781	89694	89771	6230	20432	1
2018.11.21	16:45:00	89766	89791	89684	89730	7218	24554	1
2018.11.21	16:50:00	89730	89776	89704	89714	4051	13944	1
2018.11.21	16:55:00	89709	89745	89689	89704	3962	13476	1
2018.11.21	17:00:00	89699	89704	89560	89606	11096	38131	1
2018.11.21	17:05:00	89606	89617	89535	89545	5561	19272	1
2018.11.21	17:10:00	89550	89668	89519	89617	7378	27430	1
2018.11.21	17:15:00	89617	89637	89550	89565	4763	16786	1
2018.11.21	17:20:00	89560	89627	89545	89606	3549	14353	1
2018.11.21	17:25:00	89606	89653	89586	89591	4294	18976	1
2018.11.21	17:30:00	89586	89642	89571	89596	3077	11540	1
2018.11.21	17:35:00	89596	89791	89596	89745	8935	31849	1
2018.11.21	17:40:00	89750	89843	89735	89817	6984	28089	1
2018.11.21	17:45:00	89822	89868	89776	89843	5457	20616	1
2018.11.21	17:50:00	89848	89987	89797	89940	5996	24497	1
2018.11.21	17:55:00	89940	90033	89807	89987	6953	32909	1
2018.11.21	18:00:00	89982	90038	89966	90002	3105	12283	1
2018.11.21	18:05:00	90007	90115	89961	89961	2207	11217	1
2018.11.22	09:00:00	89899	89946	89704	89822	6996	22233	1
2018.11.22	09:05:00	89822	89920	89771	89899	6951	20102	1
2018.11.22	09:10:00	89899	89956	89827	89899	6358	18029	1
2018.11.22	09:15:00	89894	89899	89797	89827	5215	16382	1
2018.11.22	09:20:00	89833	89868	89745	89771	7672	22498	1
2018.11.22	09:25:00	89776	89776	89642	89678	12157	35861	1
2018.11.22	09:30:00	89684	89740	89606	89699	9144	25390	1
2018.11.22	09:35:00	89699	89735	89684	89719	4198	12173	1
2018.11.22	09:40:00	89714	89776	89709	89766	6310	18313	1
2018.11.22	09:45:00	89771	89833	89735	89807	8870	29623	1
2018.11.22	09:50:00	89802	89858	89791	89858	5505	19851	1
2018.11.22	09:55:00	89858	89961	89853	89930	10718	34308	1
2018.11.22	10:00:00	89930	90161	89868	90131	20848	63541	1
2018.11.22	10:05:00	90131	90259	90131	90208	16338	51918	1
2018.11.22	10:10:00	90213	90223	90120	90161	10203	33427	1
2018.11.22	10:15:00	90161	90177	90033	90069	11440	37262	1
2018.11.22	10:20:00	90064	90105	90028	90059	6839	23450	1
2018.11.22	10:25:00	90059	90172	90043	90141	9599	32317	1
2018.11.22	10:30:00	90141	90218	90120	90202	8070	27614	1
2018.11.22	10:35:00	90202	90295	90100	90156	16592	49507	1
2018.11.22	10:40:00	90156	90166	90028	90074	10094	30021	1
2018.11.22	10:45:00	90074	90182	90048	90172	8430	28956	1
2018.11.22	10:50:00	90172	90197	90089	90161	9156	29682	1
2018.11.22	10:55:00	90156	90197	90120	90182	4645	15132	1
2018.11.22	11:00:00	90172	90341	90136	90315	12232	37053	1
2018.11.22	11:05:00	90321	90351	90223	90269	10920	32650	1
2018.11.22	11:10:00	90269	90341	90228	90315	8442	26681	1
2018.11.22	11:15:00	90310	90321	90192	90238	8690	25088	1
2018.11.22	11:20:00	90238	90290	90228	90254	5842	20014	1
2018.11.22	11:25:00	90259	90341	90197	90223	9501	31077	1
2018.11.22	11:30:00	90218	90238	90141	90208	8622	26174	1
2018.11.22	11:35:00	90208	90398	90177	90351	13502	43414	1
2018.11.22	11:40:00	90346	90418	90310	90372	10218	33869	1
2018.11.22	11:45:00	90372	90382	90254	90280	6816	22806	1
2018.11.22	11:50:00	90274	90295	90151	90182	9006	29648	1
2018.11.22	11:55:00	90177	90208	90120	90136	7401	24061	1
2018.11.22	12:00:00	90136	90177	90048	90110	12872	43563	1
2018.11.22	12:05:00	90110	90125	89987	90064	11642	40002	1
2018.11.22	12:10:00	90064	90192	90059	90161	9593	29308	1
2018.11.22	12:15:00	90156	90274	90156	90213	9781	30801	1
2018.11.22	12:20:00	90208	90295	90187	90244	7027	22850	1
2018.11.22	12:25:00	90238	90244	90100	90131	8737	26643	1
2018.11.22	12:30:00	90131	90202	90120	90187	5501	20694	1
2018.11.22	12:35:00	90182	90202	90125	90146	3824	13185	1
2018.11.22	12:40:00	90146	90187	90120	90172	3297	13243	1
2018.11.22	12:45:00	90166	90310	90166	90295	8955	27989	1
2018.11.22	12:50:00	90290	90315	90146	90161	7042	22787	1
2018.11.22	12:55:00	90161	90161	90007	90033	8600	27470	1
2018.11.22	13:00:00	90033	90095	90007	90074	6239	22350	1
2018.11.22	13:05:00	90074	90115	89992	90017	6719	22034	1
2018.11.22	13:10:00	90017	90043	89992	90023	4676	15871	1
2018.11.22	13:15:00	90017	90059	89956	90033	8036	25750	1
2018.11.22	13:20:00	90033	90151	90017	90120	8165	25588	1
2018.11.22	13:25:00	90115	90151	90028	90125	8485	31723	1
2018.11.22	13:30:00	90131	90172	90043	90100	7327	26998	1
2018.11.22	13:35:00	90100	90115	90043	90084	4096	13330	1
2018.11.22	13:40:00	90084	90141	90064	90141	3890	13702	1
2018.11.22	13:45:00	90141	90156	90043	90100	5256	20310	1
2018.11.22	13:50:00	90100	90166	90084	90166	4682	14890	1
2018.11.22	13:55:00	90166	90238	90136	90197	8255	26757	1
2018.11.22	14:00:00	90192	90238	90084	90100	8518	30048	1
2018.11.22	14:05:00	90105	90131	90048	90084	5802	20003	1
2018.11.22	14:10:00	90084	90105	90012	90033	5983	18970	1
2018.11.22	14:15:00	90033	90115	90012	90079	6383	21012	1
2018.11.22	14:20:00	90079	90095	89879	89966	15754	51401	1
2018.11.22	14:25:00	89966	90053	89915	90007	8950	28836	1
2018.11.22	14:30:00	90012	90064	89992	90048	3466	11892	1
2018.11.22	14:35:00	90048	90105	90048	90079	4541	14766	1
2018.11.22	14:40:00	90084	90141	90048	90069	7238	23943	1
